iter	Logloss
729	0.1729522397
730	0.1728342366
731	0.1726136418
732	0.1725087621
733	0.1721992477
734	0.1721839778
735	0.1719623925
736	0.1718304445
737	0.1715646301
738	0.1711687012
739	0.171015791
740	0.1708175482
741	0.1704304806
742	0.1700892987
743	0.1700100015
744	0.169637878
745	0.1694769973
746	0.1694404815
747	0.1691589558
748	0.1690214385
749	0.1687678417
750	0.1686364696
751	0.1685191303
752	0.1684457013
753	0.168112732
754	0.1680392056
755	0.1677883729
756	0.167363033
757	0.1671226805
758	0.1670820431
759	0.1669046141
760	0.166696364
761	0.1666719394
762	0.1665069985
763	0.166406542
764	0.16621296
765	0.166156092
766	0.165793008
767	0.1653810269
768	0.1652881162
769	0.1649897302
770	0.164676761
771	0.164409346
772	0.1641742673
773	0.1640043361
774	0.1637304847
775	0.1636754561
776	0.1634271184
777	0.163357595
778	0.1633388916
779	0.1631439393
780	0.1630323516
781	0.1627366914
782	0.1625347918
783	0.1622576435
784	0.1622327158
785	0.1619372297
786	0.1619055457
787	0.1618631229
788	0.161620148
789	0.161536063
790	0.1612159101
791	0.1611781391
792	0.161114596
793	0.1607968885
794	0.160481236
795	0.1601799321
796	0.159952916
797	0.159842345
798	0.15979085
799	0.159604774
800	0.1594057618
801	0.1593315055
802	0.1592100312
803	0.1590197041
804	0.158750941
805	0.158341637
806	0.1582686468
807	0.1580542562
808	0.1580230998
809	0.1578059669
810	0.1576718994
811	0.1575348987
812	0.1574514309
813	0.1572976283
814	0.1571865488
815	0.1571170407
816	0.1569956699
817	0.1569575373
818	0.1566728099
819	0.1564954773
820	0.1561279369
821	0.1556976818
822	0.1553410531
823	0.1550897254
824	0.1547250771
825	0.1545218736
826	0.1542820127
827	0.1540255586
828	0.1538062286
829	0.153769168
830	0.1537397816
831	0.1536617898
832	0.153618644
833	0.1533215375
834	0.1531810573
835	0.1528929373
836	0.1524968263
837	0.1523754801
838	0.1520706233
839	0.1518316614
840	0.1514756606
841	0.1513996239
842	0.151240821
843	0.1510401325
844	0.1509733577
845	0.1507656537
846	0.150690328
847	0.150659993
848	0.1505903975
849	0.1504853404
850	0.1501407504
851	0.1500940713
852	0.1496977538
853	0.1495126672
854	0.1494085132
855	0.1490245779
856	0.1489864422
857	0.1488940907
858	0.14871276
859	0.1485957236
860	0.1483815075
861	0.1480677139
862	0.1479538128
863	0.147871321
864	0.1477508647
865	0.1476816341
866	0.1473952011
867	0.1472576754
868	0.1470307154
869	0.1467053605
870	0.1466373176
871	0.1466061683
872	0.1462988168
873	0.1461221076
874	0.1458601581
875	0.145710404
876	0.1456677976
877	0.1456089986
878	0.1453721008
879	0.145270386
880	0.1450108811
881	0.1448391875
882	0.144684643
883	0.1446572591
884	0.1444751026
885	0.1441749683
886	0.1439569184
887	0.1438101007
888	0.1436961529
889	0.1434637024
890	0.143413077
891	0.1431893331
892	0.1430670136
893	0.1428833004
894	0.1427908394
895	0.1426896577
896	0.1425654119
897	0.1424810246
898	0.1423621141
899	0.1421234212
900	0.1420995612
901	0.1420819623
902	0.1419824419
903	0.1417973179
904	0.1415221242
905	0.1414320289
906	0.1411479946
907	0.1411288753
908	0.1410344185
909	0.1408952871
910	0.1408518723
911	0.1406618271
